Image Name, Time, UTM Zone, Easting (m), Northing (m), Altitude (m), Relative Altitude (m), Roll (rad), Pitch (rad), Yaw (rad)
1.jpg, 1479401001.09, 17, 537416.104234, 537416.104234, 542.52, 14.01, 0.0338648751147, -0.00502536382882, 0.362069495764
2.jpg, 1479401001.45, 17, 537416.100854, 537416.100854, 542.52, 14.01, 0.0337103884681, -0.00507453483489, 0.36189384533
3.jpg, 1479401001.92, 17, 537416.100915, 537416.100915, 542.537417257, 14.0274172571, 0.0335585575381, -0.00503927921489, 0.361996639943
4.jpg, 1479401002.22, 17, 537416.11303, 537416.11303, 542.54815369, 14.0381536902, 0.0335193993128, -0.00507869836449, 0.361852920104
5.jpg, 1479401002.67, 17, 537416.136328, 537416.136328, 542.54, 14.03, 0.0333038762717, -0.00496384348834, 0.361776214561
6.jpg, 1479401003.0, 17, 537416.128972, 537416.128972, 542.55, 14.04, 0.0334002270571, -0.00493293665171, 0.361778225133
7.jpg, 1479401003.32, 17, 537416.129276, 537416.129276, 542.542109641, 14.032109641, 0.0335096585871, -0.0047727031416, 0.361742888654
8.jpg, 1479401003.73, 17, 537416.127444, 537416.127444, 542.54, 14.03, 0.0332215644847, -0.00473688539614, 0.361780492011
9.jpg, 1479401004.09, 17, 537416.124026, 537416.124026, 542.52397345, 14.0139734503, 0.0332139137203, -0.00471114246344, 0.361791474086
10.jpg, 1479401004.53, 17, 537416.120434, 537416.120434, 542.528132062, 14.0181320619, 0.0331596536808, -0.00471759296417, 0.361661717576
11.jpg, 1479401004.84, 17, 537416.130992, 537416.130992, 542.54, 14.03, 0.0330556779982, -0.00472976977797, 0.361692201414
12.jpg, 1479401005.24, 17, 537416.138984, 537416.138984, 542.552841599, 14.0428415988, 0.0330453253862, -0.00477768820636, 0.361369473156
13.jpg, 1479401005.63, 17, 537416.14756, 537416.14756, 542.56, 14.05, 0.0329664508041, -0.00494738506886, 0.361105859414
14.jpg, 1479401005.98, 17, 537416.163214, 537416.163214, 542.559588738, 14.0495887378, 0.0329806872001, -0.00501124977902, 0.361270288395
15.jpg, 1479401006.34, 17, 537416.178174, 537416.178174, 542.542542725, 14.032542725, 0.0330540042797, -0.0052587525047, 0.361182277075
16.jpg, 1479401006.81, 17, 537416.2336, 537416.2336, 542.54, 14.03, 0.0332149248203, -0.00546858099407, 0.361253651958
17.jpg, 1479401007.13, 17, 537416.226489, 537416.226489, 542.547873909, 14.0378739086, 0.033354174227, -0.00558009197884, 0.361272967735
18.jpg, 1479401007.52, 17, 537416.235333, 537416.235333, 542.546074364, 14.0360743637, 0.0333815111942, -0.00570556401465, 0.361262896665
19.jpg, 1479401007.93, 17, 537416.268739, 537416.268739, 542.573782825, 14.0637828249, 0.0334605303586, -0.00565477909232, 0.361064736852
20.jpg, 1479401008.24, 17, 537416.25166, 537416.25166, 542.580289385, 14.0702893847, 0.0335118445902, -0.00564581218051, 0.360948815978
21.jpg, 1479401008.7, 17, 537416.258078, 537416.258078, 542.582938138, 14.0729381383, 0.0335145138998, -0.00564548542301, 0.360946079406
22.jpg, 1479401009.03, 17, 537416.262748, 537416.262748, 542.584865771, 14.0748657707, 0.0335164564911, -0.00564524762042, 0.360944087865
23.jpg, 1479401009.33, 17, 537416.267121, 537416.267121, 542.586670569, 14.0766705692, 0.033518275295, -0.00564502496773, 0.36094222323
24.jpg, 1479401009.62, 17, 537416.271159, 537416.271159, 542.588337535, 14.0783375349, 0.0335199551961, -0.00564481931606, 0.360940500998
25.jpg, 1479401010.01, 17, 537416.276743, 537416.276743, 542.590642125, 14.0806421255, 0.0335222776693, -0.00564453499657, 0.360938120003
26.jpg, 1479401010.28, 17, 537416.280457, 537416.280457, 542.592174955, 14.0821749547, 0.0335238223923, -0.00564434588692, 0.360936536355
27.jpg, 1479401010.66, 17, 537416.28596, 537416.28596, 542.594446059, 14.0844460586, 0.0335261111179, -0.00564406568968, 0.360934189957
28.jpg, 1479401010.99, 17, 537416.290605, 537416.290605, 542.596363327, 14.0863633268, 0.0335280432618, -0.00564382914271, 0.360932209126
29.jpg, 1479401011.32, 17, 537416.295183, 537416.295183, 542.598253114, 14.0882531137, 0.0335299477108, -0.00564359598254, 0.360930256688
30.jpg, 1479401011.6, 17, 537416.299275, 537416.299275, 542.599941847, 14.0899418466, 0.0335316495455, -0.0056433876251, 0.36092851197
31.jpg, 1479401012.0, 17, 537416.304802, 537416.304802, 542.602223156, 14.0922231557, 0.0335339485532, -0.00564310615032, 0.360926155031
32.jpg, 1479401012.33, 17, 537416.309478, 537416.309478, 542.604153073, 14.0941530734, 0.0335358934429, -0.00564286802705, 0.360924161133
33.jpg, 1479401012.62, 17, 537416.313611, 537416.313611, 542.605858762, 14.0958587615, 0.0335376123631, -0.00564265756715, 0.360922398898
34.jpg, 1479401012.95, 17, 537416.318391, 537416.318391, 542.607831788, 14.0978317883, 0.0335396006954, -0.00564241411733, 0.360920360463
35.jpg, 1479401013.23, 17, 537416.322256, 537416.322256, 542.609427094, 14.0994270942, 0.0335412083763, -0.00564221727116, 0.360918712271
36.jpg, 1479401013.63, 17, 537416.327933, 537416.327933, 542.611770144, 14.1017701437, 0.0335435696006, -0.00564192815546, 0.360916291548
37.jpg, 1479401014.1, 17, 537416.334592, 537416.334592, 542.614518553, 14.1045185529, 0.033546339328, -0.00564158901395, 0.360913452027
38.jpg, 1479401014.51, 17, 537416.340443, 537416.340443, 542.616933191, 14.1069331911, 0.0335487726946, -0.00564129105182, 0.360910957343
39.jpg, 1479401014.95, 17, 537416.346728, 537416.346728, 542.619527228, 14.1095272277, 0.0335513868503, -0.00564097094548, 0.360908277315
40.jpg, 1479401015.31, 17, 537416.351811, 537416.351811, 542.621625222, 14.1116252217, 0.0335535011155, -0.0056407120461, 0.360906109773
41.jpg, 1479401015.64, 17, 537416.356498, 537416.356498, 542.623559935, 14.1135599345, 0.0335554508328, -0.00564047329208, 0.360904110926
42.jpg, 1479401016.0, 17, 537416.361589, 537416.361589, 542.625661279, 14.1156612791, 0.0335575684735, -0.00564021397039, 0.360901939923
43.jpg, 1479401016.34, 17, 537416.366371, 537416.366371, 542.627634604, 14.1176346043, 0.0335595571015, -0.00563997044307, 0.360899901185
44.jpg, 1479401016.69, 17, 537416.371303, 537416.371303, 542.629670324, 14.1196703238, 0.0335616086071, -0.00563971921144, 0.360897797984
45.jpg, 1479401017.01, 17, 537416.375801, 537416.375801, 542.63152701, 14.1215270103, 0.0335634796909, -0.00563949007083, 0.360895879751
46.jpg, 1479401017.32, 17, 537416.380249, 537416.380249, 542.633362542, 14.1233625417, 0.0335653294552, -0.00563926353752, 0.360893983375
47.jpg, 1479401017.7, 17, 537416.385591, 537416.385591, 542.635567665, 14.1255676649, 0.0335675516766, -0.00563899138614, 0.360891705157
48.jpg, 1479401018.02, 17, 537416.390173, 537416.390173, 542.637458767, 14.1274587667, 0.0335694574411, -0.00563875798656, 0.36088975137
49.jpg, 1479401018.35, 17, 537416.394776, 537416.394776, 542.639358526, 14.129358526, 0.0335713719299, -0.00563852351471, 0.360887788638
50.jpg, 1479401018.7, 17, 537416.399723, 537416.399723, 542.641400311, 14.131400311, 0.033573429545, -0.00563827150961, 0.360885679174
51.jpg, 1479401019.02, 17, 537416.40426, 537416.40426, 542.643272857, 14.1332728568, 0.0335753166083, -0.00563804038885, 0.360883744559
52.jpg, 1479401019.34, 17, 537416.408791, 537416.408791, 542.645142859, 14.1351428593, 0.0335772011081, -0.00563780957836, 0.360881812572
53.jpg, 1479401019.67, 17, 537416.413544, 537416.413544, 542.647104832, 14.1371048317, 0.0335791782904, -0.0056375674123, 0.360879785568
54.jpg, 1479401020.01, 17, 537416.418316, 537416.418316, 542.649074407, 14.1390744075, 0.0335811631344, -0.00563732430373, 0.360877750708
55.jpg, 1479401020.32, 17, 537416.42278, 537416.42278, 542.650916916, 14.1409169162, 0.033583019926, -0.00563709687564, 0.360875847128
56.jpg, 1479401020.6, 17, 537416.426766, 537416.426766, 542.652562016, 14.1425620157, 0.0335846777777, -0.00563689381155, 0.3608741475
57.jpg, 1479401021.06, 17, 537416.433233, 537416.433233, 542.655230999, 14.1452309986, 0.0335873674487, -0.00563656435766, 0.360871390053
58.jpg, 1479401021.34, 17, 537416.437161, 537416.437161, 542.656852458, 14.1468524583, 0.0335890014764, -0.00563636420431, 0.360869714849
59.jpg, 1479401021.7, 17, 537416.442328, 537416.442328, 542.658984968, 14.148984968, 0.0335911505148, -0.00563610096266, 0.360867511658
60.jpg, 1479401022.03, 17, 537416.446993, 537416.446993, 542.660910559, 14.150910559, 0.0335930910303, -0.00563586325944, 0.360865522244
61.jpg, 1479401022.35, 17, 537416.451529, 537416.451529, 542.662782555, 14.1527825554, 0.0335949775353, -0.00563563216846, 0.360863588201
62.jpg, 1479401022.81, 17, 537416.458036, 537416.458036, 542.665468234, 14.1554682342, 0.0335976840281, -0.00563530062506, 0.360860813508
63.jpg, 1479401023.15, 17, 537416.462883, 537416.462883, 542.667468841, 14.1574688413, 0.0335997001393, -0.00563505364796, 0.360858746593
64.jpg, 1479401023.49, 17, 537416.467585, 537416.467585, 542.669409661, 14.1594096614, 0.0336016559998, -0.00563481404763, 0.360856741447
65.jpg, 1479401023.81, 17, 537416.472125, 537416.472125, 542.671283113, 14.1612831135, 0.0336035439697, -0.00563458276038, 0.360854805902
66.jpg, 1479401024.14, 17, 537416.476806, 537416.476806, 542.673215441, 14.1632154406, 0.0336054912704, -0.00563434420087, 0.360852809532
67.jpg, 1479401024.45, 17, 537416.481286, 537416.481286, 542.67506446, 14.1650644596, 0.0336073546169, -0.00563411592272, 0.360850899231
68.jpg, 1479401024.77, 17, 537416.485786, 537416.485786, 542.676921747, 14.166921747, 0.0336092262955, -0.00563388662016, 0.360848980388
69.jpg, 1479401025.07, 17, 537416.489949, 537416.489949, 542.678639781, 14.1686397807, 0.033610957641, -0.0056336745068, 0.360847205414
70.jpg, 1479401025.4, 17, 537416.494646, 537416.494646, 542.680578488, 14.1705784884, 0.0336129113699, -0.00563343514472, 0.360845202454
71.jpg, 1479401025.74, 17, 537416.499446, 537416.499446, 542.682559773, 14.1725597725, 0.0336149080046, -0.0056331905219, 0.360843155506
72.jpg, 1479401026.05, 17, 537416.503949, 537416.503949, 542.684418032, 14.1744180318, 0.0336167806608, -0.00563296108485, 0.360841235661
73.jpg, 1479401026.43, 17, 537416.509296, 537416.509296, 542.68662492, 14.1766249203, 0.0336190046466, -0.0056326885983, 0.360838955633
74.jpg, 1479401026.77, 17, 537416.514166, 537416.514166, 542.688635084, 14.1786350842, 0.0336210303833, -0.00563244039711, 0.360836878849
75.jpg, 1479401027.06, 17, 537416.518271, 537416.518271, 542.690329367, 14.1803293666, 0.0336227377909, -0.00563223119552, 0.360835128417
76.jpg, 1479401027.44, 17, 537416.523607, 537416.523607, 542.692531905, 14.1825319047, 0.033624957391, -0.00563195923257, 0.360832852885
77.jpg, 1479401027.73, 17, 537416.527672, 537416.527672, 542.694209696, 14.1842096961, 0.033626648179, -0.00563175206041, 0.360831119491
78.jpg, 1479401028.06, 17, 537416.53237, 537416.53237, 542.696148428, 14.1861484275, 0.0336286019279, -0.00563151266397, 0.360829116509
79.jpg, 1479401028.39, 17, 537416.53701, 537416.53701, 542.698063573, 14.1880635735, 0.0336305319082, -0.00563127617604, 0.360827137895
80.jpg, 1479401028.78, 17, 537416.541687, 537416.541687, 542.7, 14.19, 0.0339011220332, -0.006205858202, 0.360361343503
81.jpg, 1479401029.19, 17, 537416.553495, 537416.553495, 542.7, 14.19, 0.0345952136497, -0.00755541519359, 0.359371919787
82.jpg, 1479401029.57, 17, 537416.52967, 537416.52967, 542.716446479, 14.2064464788, 0.0345423985491, -0.00751565843395, 0.359237774806
83.jpg, 1479401029.92, 17, 537416.522251, 537416.522251, 542.720437962, 14.2104379625, 0.03445350269, -0.00747066219453, 0.358928418347
84.jpg, 1479401030.31, 17, 537416.478712, 537416.478712, 542.730694972, 14.2206949723, 0.034333570432, -0.00745913161959, 0.358875097419
85.jpg, 1479401030.66, 17, 537416.47752, 537416.47752, 542.74, 14.23, 0.034293692287, -0.00751000654466, 0.358664541804
86.jpg, 1479401031.07, 17, 537416.470358, 537416.470358, 542.75, 14.24, 0.0343692649065, -0.00745125022198, 0.358560396557
87.jpg, 1479401031.39, 17, 537416.47928, 537416.47928, 542.745254256, 14.2352542558, 0.0343273965287, -0.00725204853531, 0.358361672153
88.jpg, 1479401031.86, 17, 537416.448698, 537416.448698, 542.74, 14.23, 0.0342145853581, -0.00700331541071, 0.358186738479
89.jpg, 1479401032.17, 17, 537416.438787, 537416.438787, 542.74, 14.23, 0.0341829251451, -0.00690025723851, 0.358097608087
90.jpg, 1479401032.53, 17, 537416.417465, 537416.417465, 542.74, 14.23, 0.0340842320695, -0.00664850525159, 0.35800663484
91.jpg, 1479401032.94, 17, 537416.418674, 537416.418674, 542.738794339, 14.2287943393, 0.034366940864, -0.00647474316944, 0.357793420494
92.jpg, 1479401033.27, 17, 537416.426554, 537416.426554, 542.73760466, 14.2276046596, 0.0342778967358, -0.00636969129057, 0.357506351447
93.jpg, 1479401033.69, 17, 537416.41889, 537416.41889, 542.74, 14.23, 0.034027303456, -0.0062852634154, 0.357397561567
94.jpg, 1479401034.1, 17, 537416.392565, 537416.392565, 542.759409661, 14.2494096612, 0.0339482372183, -0.00629302822601, 0.357090227696
95.jpg, 1479401034.47, 17, 537416.384909, 537416.384909, 542.7775495, 14.2675494997, 0.0340094484963, -0.00624486885403, 0.356905940991
96.jpg, 1479401034.83, 17, 537416.359836, 537416.359836, 542.784095456, 14.2740954563, 0.0342370475527, -0.00644543576136, 0.356720570994
97.jpg, 1479401035.22, 17, 537416.351179, 537416.351179, 542.78, 14.27, 0.0343293557902, -0.00649196557858, 0.356743126316
98.jpg, 1479401035.63, 17, 537416.321103, 537416.321103, 542.78, 14.27, 0.0341271116237, -0.00643877181681, 0.356663847894
99.jpg, 1479401036.01, 17, 537416.315762, 537416.315762, 542.79, 14.28, 0.0339277689235, -0.00637163842482, 0.356541874101
100.jpg, 1479401036.38, 17, 537416.306355, 537416.306355, 542.786244725, 14.276244725, 0.0338978541682, -0.00634977253189, 0.356517270188
101.jpg, 1479401036.84, 17, 537416.313299, 537416.313299, 542.79, 14.28, 0.0339838786883, -0.00639248320499, 0.35640615812
102.jpg, 1479401037.2, 17, 537416.320702, 537416.320702, 542.8, 14.29, 0.0338400342571, -0.00650218098789, 0.356231112358
103.jpg, 1479401037.55, 17, 537416.319554, 537416.319554, 542.801107009, 14.2911070088, 0.0336286056322, -0.00640290184165, 0.356004037764
104.jpg, 1479401037.96, 17, 537416.319285, 537416.319285, 542.81, 14.3, 0.0334803569645, -0.00630809185532, 0.355796718863
105.jpg, 1479401038.27, 17, 537416.311564, 537416.311564, 542.817484777, 14.3074847771, 0.0335357377958, -0.00643924909258, 0.355642419436
106.jpg, 1479401038.73, 17, 537416.320377, 537416.320377, 542.819890964, 14.3098909637, 0.0333098108704, -0.00655240110126, 0.355424963073
107.jpg, 1479401039.1, 17, 537416.327944, 537416.327944, 542.828470873, 14.3184708729, 0.0332472765946, -0.00657701283468, 0.35532442868
108.jpg, 1479401039.46, 17, 537416.335354, 537416.335354, 542.84, 14.33, 0.0332521522244, -0.00663882043552, 0.355187295649
109.jpg, 1479401039.88, 17, 537416.329083, 537416.329083, 542.864191723, 14.3541917225, 0.0333284849902, -0.00669660039184, 0.355096436125
110.jpg, 1479401040.25, 17, 537416.334805, 537416.334805, 542.88, 14.37, 0.0334550723392, -0.00671630860138, 0.354941432932
111.jpg, 1479401040.62, 17, 537416.359574, 537416.359574, 542.87, 14.36, 0.0333787031459, -0.00655653910042, 0.354931195542
